tree_id,block_id,species_group,latitude,longitude,health,tree_dbh,stump_diam,curb_loc,steward,sidewalk,address,zipcode,boroname,nta,nta_name
31700,103426,Japanese zelkova,40.73893602,-73.99660878,Good,4,0,OnCurb,1or2,NoDamage,114 WEST 16 STREET,10011,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
164065,103022,honeylocust,40.72370598,-73.9796447,Good,13,0,OnCurb,1or2,NoDamage,650 EAST 6 STREET,10009,Manhattan,MN28,Lower East Side
78906,105399,littleleaf linden,40.73842717,-73.98439824,Fair,13,0,OnCurb,1or2,NoDamage,144 EAST 22 STREET,10010,Manhattan,MN21,Gramercy
259488,102859,Callery pear,40.7206543,-73.98007924,Good,5,0,OnCurb,None,NoDamage,274 EAST 2 STREET,10009,Manhattan,MN28,Lower East Side
175510,103187,Other,40.72861526,-73.97869927,Good,4,0,OnCurb,1or2,NoDamage,210 AVENUE B,10009,Manhattan,MN22,East Village
206351,105377,honeylocust,40.73735138,-73.97938723,Good,5,0,OnCurb,1or2,NoDamage,333 EAST 23 STREET,10010,Manhattan,MN21,Gramercy
86882,103118,Other,40.72674473,-73.9800792,Good,3,0,OnCurb,1or2,NoDamage,157 AVENUE B,10009,Manhattan,MN22,East Village
637533,219981,Other,40.70339247,-73.98012078,Good,5,0,OnCurb,1or2,NoDamage,334 PLYMOUTH STREET,11201,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
397339,102417,Other,40.71346238,-73.98104409,Good,4,0,OnCurb,1or2,NoDamage,371 MADISON STREET,10002,Manhattan,MN28,Lower East Side
276133,100247,Callery pear,40.7080232,-74.00365709,Poor,14,0,OffsetFromCurb,1or2,NoDamage,267 PEARL STREET,10038,Manhattan,MN25,Battery Park City-Lower Manhattan
26253,105396,ginkgo,40.73729418,-73.98643851,Good,4,0,OnCurb,3or4,NoDamage,81 IRVING PLACE,10003,Manhattan,MN21,Gramercy
177267,106034,Other,40.73339395,-73.97459254,Good,2,0,OnCurb,1or2,NoDamage,601 EAST 20 STREET,10010,Manhattan,MN50,Stuyvesant Town-Cooper Village
172496,102762,pin oak,40.71726591,-73.97997926,Good,3,0,OffsetFromCurb,None,NoDamage,61 COLUMBIA STREET,10002,Manhattan,MN28,Lower East Side
144182,101305,Callery pear,40.72368067,-73.99467672,Good,4,0,OnCurb,None,NoDamage,260 MOTT STREET,10012,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy
474233,104285,Callery pear,40.74024387,-73.98871615,Good,4,0,OnCurb,1or2,NoDamage,12 EAST 22 STREET,10010,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
232229,103263,littleleaf linden,40.73189323,-73.98409726,Fair,11,0,OnCurb,None,NoDamage,320 EAST 14 STREET,10003,Manhattan,MN22,East Village
397345,102417,Other,40.71337683,-73.98178372,Good,3,0,OnCurb,1or2,NoDamage,356 MADISON STREET,10002,Manhattan,MN28,Lower East Side
61168,106027,honeylocust,40.73638947,-73.97798053,Good,8,0,OffsetFromCurb,None,NoDamage,390 EAST 23 STREET,10010,Manhattan,MN50,Stuyvesant Town-Cooper Village
136514,103000,Callery pear,40.72369233,-73.99169226,Fair,5,0,OnCurb,1or2,NoDamage,273 BOWERY,10002,Manhattan,MN27,Chinatown
446690,102100,Other,40.73643923,-74.00204092,Fair,5,0,OnCurb,1or2,NoDamage,240 WAVERLY PLACE,10014,Manhattan,MN23,West Village
31972,104235,honeylocust,40.7375819,-73.9897521,Good,3,0,OnCurb,None,NoDamage,28 EAST 18 STREET,10003,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square
27630,101642,littleleaf linden,40.72889202,-74.00052908,Poor,5,0,OnCurb,1or2,NoDamage,171 BLEECKER STREET,10012,Manhattan,MN23,West Village
195246,102084,London planetree,40.73569875,-73.99914513,Good,18,0,OnCurb,1or2,Damage,116 WEST 11 STREET,10011,Manhattan,MN23,West Village
278059,103316,Other,40.71119703,-74.00056495,Good,13,0,OnCurb,None,NoDamage,5 ST JAMES PLACE,10038,Manhattan,MN27,Chinatown
