artist,track_name,region,date,streams
Ed Sheeran,Shape of You,se,2017-10-12,83547
Ed Sheeran,Shape of You,se,2017-10-13,101974
Ed Sheeran,Shape of You,se,2017-10-14,99466
Ed Sheeran,Shape of You,se,2017-10-15,76175
Ed Sheeran,Shape of You,se,2017-10-16,79129
Ed Sheeran,Shape of You,se,2017-10-17,79165
Ed Sheeran,Shape of You,se,2017-10-18,82852
Ed Sheeran,Shape of You,se,2017-10-19,81996
Ed Sheeran,Shape of You,se,2017-10-20,95944
Ed Sheeran,Shape of You,se,2017-10-21,94479
Ed Sheeran,Shape of You,se,2017-10-22,72071
Ed Sheeran,Shape of You,se,2017-10-23,73558
Ed Sheeran,Shape of You,se,2017-10-24,74769
Ed Sheeran,Shape of You,se,2017-10-25,77804
Ed Sheeran,Shape of You,se,2017-10-26,80527
Ed Sheeran,Shape of You,se,2017-10-27,91988
Ed Sheeran,Shape of You,se,2017-10-28,89683
Ed Sheeran,Shape of You,se,2017-10-29,70857
Ed Sheeran,Shape of You,se,2017-10-30,75027
Ed Sheeran,Shape of You,se,2017-10-31,73760
Ed Sheeran,Shape of You,se,2017-11-01,76433
Ed Sheeran,Shape of You,se,2017-11-02,76974
Ed Sheeran,Shape of You,se,2017-11-03,88881
Ed Sheeran,Shape of You,se,2017-11-04,83415
Ed Sheeran,Shape of You,se,2017-11-05,63781
Ed Sheeran,Shape of You,se,2017-11-06,66101
Ed Sheeran,Shape of You,se,2017-11-07,67218
Ed Sheeran,Shape of You,se,2017-11-08,68652
Ed Sheeran,Shape of You,se,2017-11-09,69685
Ed Sheeran,Shape of You,se,2017-11-10,83589
Ed Sheeran,Shape of You,se,2017-11-11,83581
Ed Sheeran,Shape of You,se,2017-11-12,63782
Ed Sheeran,Shape of You,se,2017-11-13,63298
Ed Sheeran,Shape of You,se,2017-11-14,64534
Ed Sheeran,Shape of You,se,2017-11-15,67794
Ed Sheeran,Shape of You,se,2017-11-16,68199
Ed Sheeran,Shape of You,se,2017-11-17,83065
Ed Sheeran,Shape of You,se,2017-11-18,81591
Ed Sheeran,Shape of You,se,2017-11-19,63688
Ed Sheeran,Shape of You,se,2017-11-20,63452
Ed Sheeran,Shape of You,se,2017-11-21,62913
Ed Sheeran,Shape of You,se,2017-11-22,64294
Ed Sheeran,Shape of You,se,2017-11-23,65964
Ed Sheeran,Shape of You,se,2017-11-24,78781
Ed Sheeran,Shape of You,se,2017-11-25,79398
Ed Sheeran,Shape of You,se,2017-11-26,62102
Ed Sheeran,Shape of You,se,2017-11-27,63132
Ed Sheeran,Shape of You,se,2017-11-28,62300
Ed Sheeran,Shape of You,se,2017-11-29,65590
Ed Sheeran,Shape of You,se,2017-11-30,64762
Ed Sheeran,Shape of You,se,2017-12-01,74748
Ed Sheeran,Shape of You,se,2017-12-02,68701
Ed Sheeran,Shape of You,se,2017-12-03,48149
Ed Sheeran,Shape of You,se,2017-12-04,48664
Ed Sheeran,Shape of You,se,2017-12-05,54980
Ed Sheeran,Shape of You,se,2017-12-06,68621
Ed Sheeran,Shape of You,se,2017-12-07,86925
Ed Sheeran,Shape of You,se,2017-12-08,96682
Ed Sheeran,Shape of You,se,2017-12-09,88169
Ed Sheeran,Shape of You,se,2017-12-10,64808
Ed Sheeran,Shape of You,se,2017-12-11,66492
Ed Sheeran,Shape of You,se,2017-12-12,65813
Ed Sheeran,Shape of You,se,2017-12-13,65124
Ed Sheeran,Shape of You,se,2017-12-14,69550
Ed Sheeran,Shape of You,se,2017-12-15,77159
Ed Sheeran,Shape of You,se,2017-12-16,70855
Ed Sheeran,Shape of You,se,2017-12-17,52406
Ed Sheeran,Shape of You,se,2017-12-18,54874
Ed Sheeran,Shape of You,se,2017-12-19,62745
Ed Sheeran,Shape of You,se,2017-12-20,68749
Ed Sheeran,Shape of You,se,2017-12-21,73967
Ed Sheeran,Shape of You,se,2017-12-22,77822
Ed Sheeran,Shape of You,se,2017-12-23,60925
Ed Sheeran,Shape of You,se,2017-12-24,41028
Ed Sheeran,Shape of You,se,2017-12-25,53608
Ed Sheeran,Shape of You,se,2017-12-26,53665
Ed Sheeran,Shape of You,se,2017-12-27,68774
Ed Sheeran,Shape of You,se,2017-12-28,76339
Ed Sheeran,Shape of You,se,2017-12-29,89153
Ed Sheeran,Shape of You,se,2017-12-30,87208
Ed Sheeran,Shape of You,se,2017-12-31,211529
Ed Sheeran,Shape of You,se,2018-01-01,68603
Ed Sheeran,Shape of You,se,2018-01-02,81761
Ed Sheeran,Shape of You,se,2018-01-03,81157
Ed Sheeran,Shape of You,se,2018-01-04,78106
Ed Sheeran,Shape of You,se,2018-01-05,86100
Ed Sheeran,Shape of You,se,2018-01-06,78858
Ed Sheeran,Shape of You,se,2018-01-07,67481
Ed Sheeran,Shape of You,se,2018-01-08,71671
Ed Sheeran,Shape of You,se,2018-01-09,71464
Ed Sheeran,Shape of You,sg,2017-01-06,33579
Ed Sheeran,Shape of You,sg,2017-01-07,49877
Ed Sheeran,Shape of You,sg,2017-01-08,61648
